exchange,trading_symbol,groww_symbol,name,series,isin,exchange_token
NSE,772IGT31,NSE-772IGT31,772IGT31,NK,INE219X07272,3470
NSE,772GS2049,NSE-772GS2049,772GS2049,GS,IN0020190032,9604
NSE,773GJ32,NSE-773GJ32,773GUJSDL32,SG,IN1520220089,10648
NSE,773GJ29,NSE-773GJ29,773GJSDL29,SG,IN1520200016,21049
NSE,775GJ32,NSE-775GJ32,775GUJSDL32,SG,IN1520220105,11400
NSE,778MH30,NSE-778MH30,778MAHSDL30,SG,IN2220220148,11678
NSE,77IGT28,NSE-77IGT28,77IGT28,NE,INE219X07215,3428
NSE,785AP37,NSE-785AP37,785APSDL37,SG,IN1020220225,9928
NSE,78GJ32A,NSE-78GJ32A,78GUJSDL32,SG,IN1520220055,10367
NSE,785KL35,NSE-785KL35,785KERSDL35,SG,IN2020220025,10532
NSE,782GJ32,NSE-782GJ32,782GJSDL32,SG,IN1520220030,10196
NSE,79IGT28,NSE-79IGT28,79IGT28,NF,INE219X07223,3433
NSE,797IGT31,NSE-797IGT31,797IGT31,NL,INE219X07280,3476
NSE,801TCH28,NSE-801TCH28,801TCH28,N7,INE033L07GR8,16838
NSE,79NHIT47,NSE-79NHIT47,National Highways Infra Trust - (79NHIT47),N3,INE0H7R07033,11669
NSE,79NHIT40,NSE-79NHIT40,National Highways Infra Trust - (79NHIT40),N2,INE0H7R07025,11665
NSE,79NHIT35,NSE-79NHIT35,National Highways Infra Trust - (79NHIT35),N1,INE0H7R07017,11658
NSE,795IGT31,NSE-795IGT31,795IGT31,NI,INE219X07256,3457
NSE,805ABCL28,NSE-805ABCL28,ABFL-8.05%-9-10-28-NCD,N5,INE860H07IT4,755944
NSE,81ABCL33,NSE-81ABCL33,ABFL-8.10%-9-10-33-NCD,N4,INE860H07IS6,755943
NSE,812REC27,NSE-812REC27,812REC27,NI,INE020B07GH7,19924
NSE,804AP41,NSE-804AP41,804APSDL41,SG,IN1020220191,9871
NSE,810IRFC27,NSE-810IRFC27,810IRFC27,N2,INE053F07538,31128
NSE,81TCHF28,NSE-81TCHF28,81TCHF28,N8,INE033L07GS6,16870
NSE,817GS2044,NSE-817GS2044,817GOI2044,GS,IN0020140078,7115
NSE,843SCL27,NSE-843SCL27,843IBHL27,YS,INE148I07LU4,9273
NSE,830PFCL27,NSE-830PFCL27,830PFCL27,N5,INE134E07208,20022
NSE,843SCFL27,NSE-843SCFL27,843IHFL27,YB,INE148I07LD0,7772
NSE,833ABCL27,NSE-833ABCL27,ABCL-8.33%-19-5-27-PVT,NL,INE860H07IY4,755960
NSE,837REC33,NSE-837REC33,837REC33,N7,INE020B07HQ6,30986
NSE,843IHFL29,NSE-843IHFL29,843IHFL29,NC,INE477L07AQ2,7668
NSE,82HUDCO27,NSE-82HUDCO27,82HUDCO27,N2,INE031A07840,31240
NSE,820IIFL27,NSE-820IIFL27,820IHFL27,N9,INE477L07AN9,7648
NSE,846REC28,NSE-846REC28,846REC28,N6,INE020B07HP8,30984
NSE,82IGT31,NSE-82IGT31,82IGT31,NJ,INE219X07264,3464
NSE,83TCHF28,NSE-83TCHF28,83TCHF28,N9,INE033L07GT4,16872
NSE,831ABCL34,NSE-831ABCL34,ABCL-8.31%-11-7-34-PVT,NK,INE860H08EL8,755959
NSE,840IRFC29,NSE-840IRFC29,840IRFC29,N8,INE053F07660,591
NSE,84TCHF28,NSE-84TCHF28,84TCHF28,,INE033L07GU2,16874
NSE,829PFL29,NSE-829PFL29,1027MFL29,N6,INE511C07706,9975
NSE,830CIFC26,NSE-830CIFC26,830CIFFCL26,N2,INE121A07QW3,15370
NSE,842SCL27,NSE-842SCL27,SCL-8.42%-01-08-27-NCD,N3,INE148I07XR5,757459
NSE,848NTPC28,NSE-848NTPC28,848NTPC28,N2,INE733E07JF7,31760
NSE,830NHAI27,NSE-830NHAI27,830NHAI27,N2,INE906B07CB9,31040
NSE,842IIFL26,NSE-842IIFL26,842IIFL26,NL,INE530B07161,6197
NSE,875NHAI29,NSE-875NHAI29,875NHAI29,N6,INE906B07DF8,192
NSE,867PFCL33,NSE-867PFCL33,867PFCL33,N7,INE134E07455,20026
NSE,875IHFL29,NSE-875IHFL29,875IHFL29,ND,INE477L07AR0,7671
NSE,873NTPC28,NSE-873NTPC28,873NTPC28,N5,INE733E07JI1,31766
NSE,862REC33,NSE-862REC33,862REC33,,INE020B07HT0,30992
NSE,852LTF27,NSE-852LTF27,852LTFL27,NG,INE027E07AM9,20689
NSE,854NHPC28,NSE-854NHPC28,854NHPC28,N2,INE848E07526,31483
NSE,861REC34,NSE-861REC34,861REC34,ND,INE020B07IE0,2935
NSE,863NHB34,NSE-863NHB34,863NHB34,N3,INE557F07108,31967
NSE,875SCL27A,NSE-875SCL27A,SCL-8.75%-01-08-27-NCD,N1,INE148I07XC7,757419
NSE,871REC28,NSE-871REC28,871REC28,N9,INE020B07HS2,30990
NSE,865SCL26,NSE-865SCL26,865IBHFL26,N8,INE148I07GJ7,18624
NSE,863REC29,NSE-863REC29,863REC29,NC,INE020B07ID2,2933
NSE,876HUDCO28,NSE-876HUDCO28,876HUDCO28,ND,INE031A07949,19968
NSE,875TCAPS29,NSE-875TCAPS29,875TCAPS29,NB,INE306N08334,21227
NSE,866IIFC34B,NSE-866IIFC34B,866IIFC34B,N3,INE787H07347,20056
NSE,872MMFSL26,NSE-872MMFSL26,872MMFSL26,N1,INE774D08LU6,20046
NSE,865IHFL27,NSE-865IHFL27,IHFL-8.65%-26-12-27-NCD,N1,INE477L07BB2,28856
NSE,863NHB29,NSE-863NHB29,863NHB29,N2,INE557F07090,31966
NSE,865LTF26,NSE-865LTF26,865LTFL26,NN,INE027E07BC8,20715
NSE,85PCHFL26,NSE-85PCHFL26,85PCHFL26,N7,INE516Y07360,5145
NSE,867NHPC33,NSE-867NHPC33,867NHPC33,N3,INE848E07534,31484
NSE,875SFL27,NSE-875SFL27,875STFCL27,ZF,INE721A07PK7,17159
NSE,865IIFL28,NSE-865IIFL28,865IIFL28,NS,INE530B07310,13852
NSE,865SCL28,NSE-865SCL28,SCL-8.65%-01-08-28-NCD,N9,INE148I07XH6,757465
NSE,858HUDCO29,NSE-858HUDCO29,858HUDCO29,NC,INE031A07972,19966
NSE,875PCHFL26,NSE-875PCHFL26,875PCHFL26,N8,INE516Y07410,5151
NSE,875PCHFL31,NSE-875PCHFL31,875PCHFL31,N9,INE516Y07378,5155
NSE,850SCL25A,NSE-850SCL25A,935IHFL28,NW,INE148I08348,5863
NSE,865SCL24B,NSE-865SCL24B,87IHFL27,Z8,INE148I07MK3,11365
NSE,850IIFL27,NSE-850IIFL27,850IHFL27,,INE477L07AO7,7662
NSE,865SCL27,NSE-865SCL27,SCL-8.65%-01-08-27-NCD,N4,INE148I07XG8,757460
NSE,865IFL28,NSE-865IFL28,IIFL,NZ,INE530B07385,17039
NSE,868NHB29,NSE-868NHB29,868NHB29,N3,INE557F07157,1758
NSE,879NHPC28,NSE-879NHPC28,879NHPC28,N5,INE848E07559,31486
NSE,855IREDA29,NSE-855IREDA29,855IREDA29,N2,INE202E07120,1380
NSE,85LTF26,NSE-85LTF26,85LTFL26,NM,INE027E07BB0,20713
NSE,865TCAPS27,NSE-865TCAPS27,865TCAPS27,N8,INE306N07LM5,21197
NSE,875IIFL26A,NSE-875IIFL26A,875IFL26,NQ,INE530B07294,13845
NSE,875SCFL27,NSE-875SCFL27,875IHFL27,Y9,INE148I07LB4,7765
NSE,865NHB34,NSE-865NHB34,865NHB34,N4,INE557F07165,1761
NSE,875CIFC23B,NSE-875CIFC23B,CIFCL-8.45%-31-1-26-NCD,NJ,INE121A07RQ3,22542
NSE,875IIFL26,NSE-875IIFL26,875IIFL26,NM,INE530B07179,6200
NSE,875SCL27,NSE-875SCL27,875IBHL27,YQ,INE148I07LS8,9255
NSE,855TCAPS27,NSE-855TCAPS27,855TCAPS27,N7,INE306N07LL7,21194
NSE,850NHAI29,NSE-850NHAI29,850NHAI29,N5,INE906B07DE1,186
NSE,851HUDCO28,NSE-851HUDCO28,851HUDCO28,NB,INE031A07915,19964
NSE,866NTPC33,NSE-866NTPC33,866NTPC33,N3,INE733E07JG5,31762
NSE,85PFL26A,NSE-85PFL26A,1075MFL29,N7,INE511C07714,9982
NSE,879SCL26,NSE-879SCL26,879IBHFL26A,NC,INE148I08231,18632
NSE,865IRFC29,NSE-865IRFC29,865IRFC29,,INE053F07686,603
NSE,855IREDA34,NSE-855IREDA34,855IREDA34,N3,INE202E07146,1383
NSE,863IRFC29,NSE-863IRFC29,863IRFC29,NC,INE053F07728,1991
NSE,893NHB29,NSE-893NHB29,893NHB29,N6,INE557F07181,1765
NSE,885SCL26,NSE-885SCL26,885IBHFL26A,N9,INE148I07GK5,18626
NSE,905SCL25,NSE-905SCL25,905IHFL25,ZT,INE148I07NI5,13460
NSE,885MOFSL26,NSE-885MOFSL26,MOFSL-8.85%-9-5-26-NCD,N0,INE338I07131,23698
NSE,897GS2030,NSE-897GS2030,GOI LOAN 8.97%,GS,IN0020110055,7011
NSE,894SCL27,NSE-894SCL27,98IHFL27,ZY,INE148I07NG9,13487
NSE,892PFCL33,NSE-892PFCL33,892PFCL33,N8,INE134E07463,20028
NSE,888SCL28,NSE-888SCL28,SCL-8.88%-01-08-28-NCD,,INE148I07XK0,757466
NSE,890NHB34,NSE-890NHB34,890NHB34,N7,INE557F07199,1767
NSE,905LTF27,NSE-905LTF27,905LTFL27,NF,INE027E07AL1,20687
NSE,885TCAPS29,NSE-885TCAPS29,885TCAPS29,NC,INE306N08342,21229
