TckrSymb,FinInstrmNm,Industry,exchange
AISL,ANI INTEGRATED SERV LTD.,Commercial Services & Supplies,NSE
ANIKINDS,ANIK INDUSTRIES LTD,Commercial Services & Supplies,NSE
APCL,ANJANI PORTLAND CEM LTD,Cement & Cement Products,NSE
ANKITMETAL,ANKIT MET & POW LTD,Ferrous Metals,NSE
ANLON,ANLON TECHNOLOGY SOL LTD,Commercial Services & Supplies,NSE
ANMOL,ANMOL INDIA LIMITED,Consumable Fuels,NSE
ANNAPURNA,ANNAPURNA SWADISHT LTD,Food Products,NSE
ANSALAPI,ANSAL PROP & INFRA LTD,Realty,NSE
ANTGRAPHIC,ANTARCTICA LTD,Industrial Products,NSE
AWHCL,ANTONY WASTE HDG CELL LTD,Other Utilities,NSE
ANUHPHR,ANUH PHARMA LIMITED,Pharmaceuticals & Biotechnology,NSE
ANURAS,ANUPAM RASAYAN INDIA LTD,Chemicals & Petrochemicals,NSE
ANYA,ANYA POLYTECH & FERTI LTD,Fertilizers & Agrochemicals,NSE
AONELIQUID,AONEAMC - AONELIQUID,,NSE
AONETOTAL,AONEAMC - AONETOTAL,,NSE
APARINDS,APAR INDUSTRIES LTD.,Electrical Equipment,NSE
APCOTEXIND,APCOTEX INDUSTRIES LIMITE,Industrial Products,NSE
APEXECO,APEX ECOTECH LIMITED,Other Utilities,NSE
APEX,APEX FROZEN FOODS LIMITED,Food Products,NSE
APLAPOLLO,APL APOLLO TUBES LTD,Industrial Products,NSE
930APMD27,APMD 9.30% 2027 STRPP A,,NSE
930APMD35,APMD 9.30% 2035 STRPP I,,NSE
APOLLOHOSP,APOLLO HOSPITALS ENTER. L,Healthcare Services,NSE
APOLLO,APOLLO MICRO SYSTEMS LTD,Aerospace & Defense,NSE
APOLLOPIPE,APOLLO PIPES LIMITED,Industrial Products,NSE
APOLSINHOT,APOLLO SINDOORI HOTEL LTD,Leisure Services,NSE
APOLLOTYRE,APOLLO TYRES LTD,Auto Components,NSE
APRAMEYA,APRAMEYA ENGINEERING LTD,Healthcare Equipment & Supplies,NSE
APTECHT,APTECH LIMITED,Other Consumer Services,NSE
APTUS,APTUS VALUE HSG FIN I LTD,Finance,NSE
ARABIAN,ARABIAN PETROLEUM LIMITED,Petroleum Products,NSE
ACI,ARCHEAN CHEMICAL IND LTD,Chemicals & Petrochemicals,NSE
ADL,ARCHIDPLY DECOR LIMITED,Consumer Durables,NSE
ARCHIDPLY,ARCHIDPLY IND. LTD,Consumer Durables,NSE
ARCHIES,ARCHIES LTD,Consumer Durables,NSE
ARHAM,ARHAM TECHNOLOGIES LTD,Consumer Durables,NSE
ARIES,ARIES AGRO LTD.,Fertilizers & Agrochemicals,NSE
ARIHANTACA,ARIHANT ACADEMY LIMITED,Other Consumer Services,NSE
ARIHANTCAP,ARIHANT CAPITAL MKTS LTD,Capital Markets,NSE
ARIHANTSUP,ARIHANT SUPERSTRUCT LTD,Realty,NSE
ARKADE,ARKADE DEVELOPERS LIMITED,Realty,NSE
ARMANFIN,ARMAN FIN SERV LTD,Finance,NSE
AROGRANITE,ARO GRANITE IND. LTD.,Consumer Durables,NSE
ARROWGREEN,ARROW GREENTECH LIMITED,Industrial Products,NSE
ARSHIYA,ARSHIYA LIMITED,Transport Services,NSE
